ID,sex,age,max_rating,current_rating,hours_in_game,games_week,pas01,pas02,pas03,pas04,pas05,pas06,pas07,pas08,pas09,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13,heroes_3,age_group,pas_total
126,М,17,1130,1070,600,1-5 игр (по выходным чисто пару каток),1,1,2,3,1,2,5,2,1,5,4,5,1,3,5,4,3,3,4,2,4,3,"Земеля 116 игр 50%
Петух 60 игр 60% винрейт
Дазл 55 игр 53% винрейт",17 лет или младше,18
127,М,15,340,280,626,20-30 игр (каждый день по несколько игр),3,2,1,3,2,2,2,2,2,3,4,3,3,2,4,3,4,5,4,5,4,5,Хускар 37 59%. Сф 36 50%. МК 34 52%,17 лет или младше,19
128,Ж,20,4200,3800,4000,11-20 игр (почти каждый день по несколько игр),1,1,1,5,1,5,1,5,1,5,2,1,1,5,5,1,2,2,3,3,1,3,"Visage, 1200 игр, 66%; Ember, 291 игра, 49,5%; BH, 249 игр, 50.2%.",18-20 лет,21
130,М,20,3230,3010,6450,6-10 игр (пару дней в неделю стабильно-дота),1,1,1,1,1,1,5,3,5,4,2,1,1,1,3,5,5,5,5,4,5,5,инвокер 200 55% лина 200 45% вр 200 63%,18-20 лет,19
132,М,18,3600,3400,2000,20-30 игр (каждый день по несколько игр),1,4,5,3,2,5,5,4,5,1,5,4,3,1,4,3,1,3,2,5,3,5,mk - 200 60% sf-150 51% dw-90 65%,18-20 лет,34
133,Ж,31,810,770,1309,20-30 игр (каждый день по несколько игр),2,1,1,4,1,1,1,3,2,5,3,1,1,2,3,3,2,3,2,1,1,1,"тракса 179 игр 59,8%.  течис 178 игры 45,5%.  скаймаг 103 игры 46,6%",30-39 лет,16
135,М,21,2000,2000,5000,11-20 игр (почти каждый день по несколько игр),4,3,4,4,3,3,5,5,5,5,5,5,5,3,5,1,3,5,5,5,5,3,"Даззл, хз сколько, 53%",21-29 лет,36
136,М,17,3900,0,5000,Больше 30 игр (по много пабликов каждый день),5,1,2,2,5,5,1,5,5,3,5,2,1,1,2,3,2,5,3,3,5,5,"Огр, 200 игры, 61%. Арк 500 игр 70%. Антимаг 1000+ игр 57%",17 лет или младше,31
137,М,18,2100,1750,2500,6-10 игр (пару дней в неделю стабильно-дота),1,1,4,3,2,4,2,3,2,4,3,4,2,2,4,2,3,4,3,4,4,3,"Акс, 94, 60.6%; Рубик, 78, 56.4%, Земеля, 69, 39.1% (учился долго, за ласт 20 игр на Змл вр=50%)",18-20 лет,22
138,М,24,4900,4300,10000,6-10 игр (пару дней в неделю стабильно-дота),1,2,1,5,1,1,5,3,2,5,1,5,5,2,4,1,1,2,2,3,3,3,"Инвокер ,1000 игр,55%;    СФ, 700 игр, 54%;     Ембер ,400 игр, 58%",21-29 лет,21
139,М,17,1500,1000,1400,11-20 игр (почти каждый день по несколько игр),1,2,3,5,4,4,5,3,1,5,1,5,4,4,5,1,2,4,5,2,4,1,слак 70 игр 60% пак 200 игр 58% манки кинг 134 игры 55%,17 лет или младше,28
141,М,18,3000,2000,8000,20-30 игр (каждый день по несколько игр),1,2,1,3,1,1,1,4,2,4,3,1,1,3,4,3,3,5,3,2,2,3,"Бруда, 140 игр, 72%; феникс, 71 игра, 56%; клинкз, 60 игр, 60%",18-20 лет,16
